帧编号,帧id,阶段,PGN,报文代号,报文描述,优先权,源地址-目的地址,帧长度,帧数据,帧数据含义
1,0x182756F4,充电握手阶段,9984,BHM,车辆握手,6,BMS-充电机,8,0xA510FFFFFFFFFFFF,最高允许充电总电压426.10V；
2,0x182756F4,充电握手阶段,9984,BHM,车辆握手,6,BMS-充电机,8,0xA510FFFFFFFFFFFF,最高允许充电总电压426.10V；
3,0x182756F4,充电握手阶段,9984,BHM,车辆握手,6,BMS-充电机,8,0xA510FFFFFFFFFFFF,最高允许充电总电压426.10V；
4,0x182756F4,充电握手阶段,9984,BHM,车辆握手,6,BMS-充电机,8,0xA510FFFFFFFFFFFF,最高允许充电总电压426.10V；
5,0x182756F4,充电握手阶段,9984,BHM,车辆握手,6,BMS-充电机,8,0xA510FFFFFFFFFFFF,最高允许充电总电压426.10V；
6,0x182756F4,充电握手阶段,9984,BHM,车辆握手,6,BMS-充电机,8,0xA510FFFFFFFFFFFF,最高允许充电总电压426.10V；
7,0x182756F4,充电握手阶段,9984,BHM,车辆握手,6,BMS-充电机,8,0xA510FFFFFFFFFFFF,最高允许充电总电压426.10V；
8,0x182756F4,充电握手阶段,9984,BHM,车辆握手,6,BMS-充电机,8,0xA510FFFFFFFFFFFF,最高允许充电总电压426.10V；
9,0x182756F4,充电握手阶段,9984,BHM,车辆握手,6,BMS-充电机,8,0xA510FFFFFFFFFFFF,最高允许充电总电压426.10V；
10,0x182756F4,充电握手阶段,9984,BHM,车辆握手,6,BMS-充电机,8,0xA510FFFFFFFFFFFF,最高允许充电总电压426.10V；
11,0x182756F4,充电握手阶段,9984,BHM,车辆握手,6,BMS-充电机,8,0xA510FFFFFFFFFFFF,最高允许充电总电压426.10V；
12,0x182756F4,充电握手阶段,9984,BHM,车辆握手,6,BMS-充电机,8,0xA510FFFFFFFFFFFF,最高允许充电总电压426.10V；
13,0x182756F4,充电握手阶段,9984,BHM,车辆握手,6,BMS-充电机,8,0xA510FFFFFFFFFFFF,最高允许充电总电压426.10V；
14,0x182756F4,充电握手阶段,9984,BHM,车辆握手,6,BMS-充电机,8,0xA510FFFFFFFFFFFF,最高允许充电总电压426.10V；
15,0x182756F4,充电握手阶段,9984,BHM,车辆握手,6,BMS-充电机,8,0xA510FFFFFFFFFFFF,最高允许充电总电压426.10V；
16,0x182756F4,充电握手阶段,9984,BHM,车辆握手,6,BMS-充电机,8,0xA510FFFFFFFFFFFF,最高允许充电总电压426.10V；
17,0x182756F4,充电握手阶段,9984,BHM,车辆握手,6,BMS-充电机,8,0xA510FFFFFFFFFFFF,最高允许充电总电压426.10V；
18,0x182756F4,充电握手阶段,9984,BHM,车辆握手,6,BMS-充电机,8,0xA510FFFFFFFFFFFF,最高允许充电总电压426.10V；
19,0x182756F4,充电握手阶段,9984,BHM,车辆握手,6,BMS-充电机,8,0xA510FFFFFFFFFFFF,最高允许充电总电压426.10V；
20,0x182756F4,充电握手阶段,9984,BHM,车辆握手,6,BMS-充电机,8,0xA510FFFFFFFFFFFF,最高允许充电总电压426.10V；
21,0x182756F4,充电握手阶段,9984,BHM,车辆握手,6,BMS-充电机,8,0xA510FFFFFFFFFFFF,最高允许充电总电压426.10V；
22,0x182756F4,充电握手阶段,9984,BHM,车辆握手,6,BMS-充电机,8,0xA510FFFFFFFFFFFF,最高允许充电总电压426.10V；
23,0x182756F4,充电握手阶段,9984,BHM,车辆握手,6,BMS-充电机,8,0xA510FFFFFFFFFFFF,最高允许充电总电压426.10V；
24,0x182756F4,充电握手阶段,9984,BHM,车辆握手,6,BMS-充电机,8,0xA510FFFFFFFFFFFF,最高允许充电总电压426.10V；
25,0x182756F4,充电握手阶段,9984,BHM,车辆握手,6,BMS-充电机,8,0xA510FFFFFFFFFFFF,最高允许充电总电压426.10V；
26,0x182756F4,充电握手阶段,9984,BHM,车辆握手,6,BMS-充电机,8,0xA510FFFFFFFFFFFF,最高允许充电总电压426.10V；
27,0x182756F4,充电握手阶段,9984,BHM,车辆握手,6,BMS-充电机,8,0xA510FFFFFFFFFFFF,最高允许充电总电压426.10V；
28,0x182756F4,充电握手阶段,9984,BHM,车辆握手,6,BMS-充电机,8,0xA510FFFFFFFFFFFF,最高允许充电总电压426.10V；
29,0x182756F4,充电握手阶段,9984,BHM,车辆握手,6,BMS-充电机,8,0xA510FFFFFFFFFFFF,最高允许充电总电压426.10V；
30,0x182756F4,充电握手阶段,9984,BHM,车辆握手,6,BMS-充电机,8,0xA510FFFFFFFFFFFF,最高允许充电总电压426.10V；
31,0x182756F4,充电握手阶段,9984,BHM,车辆握手,6,BMS-充电机,8,0xA510FFFF